id,symbol,name,usd,usd_market_cap,usd_24h_vol,usd_24h_change,last_updated_at,rank,coinGecko_link
coindeal-token,cdl,CoinDeal Token,0,0,497,1,2020/12/31,3100,https://www.coingecko.com/en/coins/coindeal-token
coindicatorbtc-set,coinbtc,CoindicatorBTC Set,140,0,138,,2020/12/29,3101,https://www.coingecko.com/en/coins/coindicatorbtc-set
coindom,scc,Stem Cell Coin,0,0,194,-7,2020/12/31,3102,https://www.coingecko.com/en/coins/coindom
coindy,cody,Coindy,0,0,193,,2020/12/8,3103,https://www.coingecko.com/en/coins/coindy
coinex-token,cet,CoinEx Token,0,0,775906,-3,2020/12/31,3104,https://www.coingecko.com/en/coins/coinex-token
coinhot,cht,CoinHot,0,0,232,,2020/11/18,3105,https://www.coingecko.com/en/coins/coinhot
coinlancer,cl,Coinlancer,0,0,0,0,2020/12/29,3106,https://www.coingecko.com/en/coins/coinlancer
coinlim-token,clt,CoinLim Token,0,0,5080,,2020/11/9,3107,https://www.coingecko.com/en/coins/coinlim-token
coinlion,lion,CoinLion,0,0,3,-25,2020/12/31,3108,https://www.coingecko.com/en/coins/coinlion
coinloan,clt,CoinLoan,2,0,23472,41,2020/12/31,3109,https://www.coingecko.com/en/coins/coinloan
coinmeet,meet,CoinMeet,0,0,7250,-10,2020/12/31,3110,https://www.coingecko.com/en/coins/coinmeet
coinnec,coi,Coinnec,0,0,0,,2020/12/28,3111,https://www.coingecko.com/en/coins/coinnec
coinstarter,stc,CoinStarter,0,0,3,132,2020/12/31,3112,https://www.coingecko.com/en/coins/coinstarter
coinwaycoin,can,Coinwaycoin,2,0,5812,0,2020/12/31,3113,https://www.coingecko.com/en/coins/coinwaycoin
coinxclub,cpx,COINXCLUB,0,0,2,,2020/12/27,3114,https://www.coingecko.com/en/coins/coinxclub
coinzo-token,cnz,Coinzo Token,0,0,451600,1,2020/12/31,3115,https://www.coingecko.com/en/coins/coinzo-token
color,clr,Color Platform,0,0,20,0,2020/12/31,3116,https://www.coingecko.com/en/coins/color
